cnn_dim,clinical_score,n_samples,pearson_r,r_squared,p_value,slope,intercept,std_err,abs_r
11,连线测验B,100,-0.4326681452167387,0.18720172388529288,6.9349135425027925e-06,-0.27695359513192125,128.69423020123403,0.05829488290808771,0.4326681452167387
23,MMSE,100,-0.43227714090971636,0.18686352655307878,7.083556422879796e-06,-0.016889002507606065,25.688595529737924,0.0035588559767437975,0.43227714090971636
12,即刻记忆,100,-0.43161673571545434,0.18629300654966435,7.341446542410871e-06,-0.018296189641223835,23.039966843844297,0.003862632263157922,0.43161673571545434
31,长时延迟再认,100,0.4314188235386555,0.1861222013034776,7.42043685435694e-06,0.03262543369609151,9.478906807943597,0.006891658778225238,0.4314188235386555
9,长时延迟再认,100,-0.4284405026182662,0.18356126428379257,8.710082362236136e-06,-0.01507054063652315,9.931532627336368,0.003210606459638365,0.4284405026182662
31,MoCA总分,100,0.4270391073935437,0.18236239924347458,9.387309996612766e-06,0.04360134602536887,20.917797763881637,0.009326090762386764,0.4270391073935437
23,连线测验B,100,0.42701949419321483,0.18234564842102904,9.397130376561425e-06,0.2924311398848254,114.95002448400699,0.06255294392731715,0.42701949419321483
14,CDR,100,0.4267481032453966,0.18211394362354366,9.534012187248691e-06,0.0015452380299042952,0.3248090170525921,0.0003307936413833634,0.4267481032453966
29,延迟回忆,100,-0.4251376683719144,0.18074203706870787,1.038563010854997e-05,-0.015817661622949637,6.978591398385075,0.003401809519718613,0.4251376683719144
15,MoCA总分,100,0.4233332534512634,0.1792110434776316,1.1424590566498705e-05,0.019374337223686543,20.804250207573666,0.004188390682415502,0.4233332534512634
25,Boston-初始命名,100,-0.4232276314082831,0.17912162798746556,1.1488335838373073e-05,-0.01834262186207025,23.494117175266283,0.003966557625035201,0.4232276314082831
31,CDR,100,-0.42231413910086685,0.17834923208450632,1.2053764675262043e-05,-0.0032692338226027145,0.3841587598562551,0.0007088281497332477,0.42231413910086685
9,TMT B-A,100,0.4221831181820345,0.17823858527790573,1.2136975338962476e-05,0.21828807658044794,56.796072071405305,0.047346620538399595,0.4221831181820345
11,连线测验A,100,-0.4193154373930057,0.1758254360360877,1.4099173851306235e-05,-0.11634411174975133,65.76982700297117,0.025444863320379558,0.4193154373930057
14,MMSE,100,-0.41922252701425855,0.17574752715622075,1.4167473277885295e-05,-0.016819552815099385,25.58304557928583,0.0036794840524391947,0.41922252701425855
7,延迟回忆,100,0.4167624594559185,0.1736909476117461,1.6093019086509574e-05,0.0388317792624994,6.876161661246436,0.008555726940217947,0.4167624594559185
17,延迟回忆,100,-0.4167272504474765,0.1736616012655138,1.6122281473859356e-05,-0.014123341287746219,7.076923580148888,0.003112085231219071,0.4167272504474765
9,Boston-初始命名,100,-0.4158074981723335,0.17289587553633512,1.690461475351194e-05,-0.017619365749343092,23.287308362642708,0.0038928261565565176,0.4158074981723335
